   r (kpc/h)    Vrot   N(i)  Vrot(measured)   %error        Vcirc       Vc%error       vphirms/vphirm_th Vr_rms/Vr_rms_th   Vz_rms/Vz_rms_th  
    0.40320   65.11919   13.00000   49.21068    0.24430   65.54913    0.00000    1.04443    0.74779    1.19152
    0.40600   65.35498   13.00000   76.87215   -0.17622   65.79884    0.00713    0.80147    0.94952    1.22179
    0.40880   65.58968   13.00000   62.27114    0.05060   66.04750   -0.00708    0.75553    1.17848    1.03586
    0.41160   65.81779   13.00000   84.77760   -0.28807   66.29020    0.00000    0.99614    0.98441    1.21899
    0.41440   66.05092   13.00000   47.48284    0.28112   66.53728    0.00000    0.76514    0.87073    1.06686
    0.41720   66.28333   13.00000   62.59160    0.05570   66.78365    0.00000    0.86493    0.91239    1.06864
    0.42000   66.50965   14.00000   68.92574   -0.03633   67.02454   -0.00687    1.18460    0.75648    0.69557
    0.42280   66.74023   14.00000   71.27528   -0.06795   67.26908   -0.00682    0.81955    1.10059    1.12856
    0.42560   66.96571   14.00000   77.04308   -0.15049   67.50857    0.00677    0.90830    0.92841    0.85284
    0.42840   67.19440   14.00000   72.19832   -0.07447   67.75177    0.00000    1.13130    0.97495    0.76460
    0.43120   67.42307   14.00000   61.37084    0.08976   67.99444    0.00000    1.00388    0.94876    0.39745
    0.43400   67.64597   14.00000   58.90262    0.12925   68.23134   -0.00663    1.39821    0.90230    1.03131
    0.43680   67.87267   14.00000   61.63932    0.09184   68.47257    0.00000    0.97827    0.88610    0.75063
    0.43960   68.09898   14.00000   68.66365   -0.00829   68.71285    0.00654    1.01037    0.97425    0.61425
    0.44240   68.32005   14.00000   70.47624   -0.03156   68.94796    0.00649    0.98843    0.90458    0.94828
    0.44520   68.54447   14.00000   69.44537   -0.01314   69.18685    0.00645    0.72292    1.14591    0.46079
    0.44800   68.76875   14.00000   63.24151    0.08037   69.42511   -0.00641    1.03406    1.00649    1.02588
    0.45080   68.98732   14.00000   63.46216    0.08009   69.65820   -0.00636    1.14520    0.90766    0.68105
    0.45360   69.20996   14.00000   69.76530   -0.00802   69.89483    0.00000    0.97374    1.13800    0.93705
    0.45640   69.43227   14.00000   75.98273   -0.09434   70.13111    0.00000    0.84325    0.73176    0.85931
    0.45920   69.64890   15.00000   88.71091   -0.27369   70.36224   -0.00624    0.81735    0.66985    0.72064
    0.46200   69.86937   15.00000   79.54183   -0.13844   70.59669   -0.00619    0.96874    0.93891    0.69796
    0.46480   70.08964   15.00000   68.71633    0.01959   70.83093   -0.00615    1.20521    0.65452    1.24246
    0.46760   70.30443   15.00000   75.40453   -0.07254   71.06017   -0.00611    0.62057    0.67862    0.67819
    0.47040   70.52316   15.00000   71.05281   -0.00751   71.29288    0.00000    1.21141    0.96155    1.02162
    0.47320   70.73708   15.00000   68.28806    0.03462   71.52081    0.00000    0.99493    0.75216    0.71527
    0.47600   70.95402   15.00000   72.66935   -0.02418   71.75216    0.00000    1.04776    0.98514    0.63786
    0.47880   71.17085   15.00000   64.18813    0.09811   71.98293    0.01192    0.90395    0.80317    0.80572
    0.48160   71.38297   15.00000   73.01416   -0.02285   72.20905   -0.01184    1.28972    1.11187    1.02225
    0.48440   71.59817   15.00000   76.01511   -0.06169   72.43861   -0.01177    1.07305    0.86069    0.75999
    0.48720   71.81313   15.00000   80.89319   -0.12644   72.66752    0.00000    0.91305    0.97539    0.91566
    0.49000   72.02341   15.00000   61.96918    0.13960   72.89176    0.00000    1.00079    0.84476    1.01436
    0.49280   72.23666   15.00000   69.88921    0.03250   73.11935    0.00000    1.13257    0.76048    1.18109
    0.49560   72.44956   16.00000   71.68192    0.01060   73.34619    0.00000    0.81850    0.92703    1.04153
    0.49840   72.65813   16.00000   72.73269   -0.00103   73.56873    0.00000    1.03493    0.89491    0.71395
    0.50120   72.86950   16.00000   62.43473    0.14320   73.79442    0.00000    0.98692    0.66098    1.03415
    0.50400   73.08068   16.00000   74.01968   -0.01285   74.01949    0.00000    0.79119    0.55682    0.79815
    0.50680   73.28724   16.00000   76.70275   -0.04660   74.24036    0.00000    1.01120    1.03259    0.91717
    0.50960   73.49718   16.00000   73.02092    0.00648   74.46420    0.00000    0.99055    0.67775    0.91257
    0.51240   73.70667   16.00000   74.02516   -0.00432   74.68754    0.00000    0.98711    0.95643    0.88702
    0.51520   73.91138   16.00000   73.62396    0.00389   74.90656    0.01100    1.16528    1.03784    0.79679
    0.51800   74.11958   16.00000   68.96046    0.06961   75.12861    0.00000    0.90560    0.87209    0.87150
    0.52080   74.32382   16.00000   81.36819   -0.09478   75.34675    0.00000    0.85781    0.89155    0.94709
    0.52360   74.53049   16.00000   70.16891    0.05852   75.56762    0.00000    1.08611    1.11627    0.71635
    0.52640   74.73692   16.00000   72.60062    0.02858   75.78790   -0.01075    0.96536    0.79505    0.68150
    0.52920   74.93954   16.00000   78.22958   -0.04390   76.00439    0.00000    0.71202    1.04354    1.11698
    0.53200   75.14462   16.00000   78.94276   -0.05054   76.22365    0.00000    1.19494    0.65089    1.00272
    0.53480   75.34928   17.00000   68.20930    0.09476   76.44212    0.00000    0.68380    0.82374    0.86462
    0.53760   75.55029   17.00000   62.88907    0.16759   76.65697    0.00000    0.96507    1.16282    1.27597
    0.54040   75.75363   17.00000   75.06201    0.00913   76.87446    0.00000    0.98663    1.21190    0.86618
    0.54320   75.95670   17.00000   77.24191   -0.01692   77.09128   -0.01039    0.89957    0.88748    0.92510
    0.54600   76.15617   17.00000   74.11633    0.02678   77.30457    0.00000    0.89299    0.93460    0.75647
    0.54880   76.35795   17.00000   72.35567    0.05241   77.52041    0.01028    0.85452    0.87146    1.13232
    0.55160   76.55959   17.00000   69.24530    0.09554   77.73582    0.01022    0.89042    0.87230    1.06549
    0.55440   76.75694   17.00000   73.88314    0.03744   77.94728    0.01016    0.87236    0.97795    0.78240
    0.55720   76.95757   17.00000   83.46524   -0.08456   78.16163    0.00000    1.07853    0.77129    0.89143
    0.56000   77.15752   17.00000   81.68283   -0.05865   78.37525    0.00000    1.02195    1.02630    0.90874
    0.56280   77.35351   17.00000   72.85997    0.05809   78.58532   -0.01000    1.00256    0.85554    1.07610
    0.56560   77.55251   17.00000   74.97038    0.03330   78.79802    0.00000    1.08850    1.11449    1.24619
    0.56840   77.75086   17.00000   69.93284    0.10055   79.01002    0.00000    1.05775    0.93896    1.15108
    0.57120   77.94554   17.00000   68.39131    0.12258   79.21873    0.00000    0.98051    0.87012    1.03350
    0.57400   78.14288   17.00000   79.67410   -0.01960   79.42973   -0.00979    0.81196    1.08745    1.11695
    0.57680   78.33681   18.00000   84.23394   -0.07528   79.63731    0.00974    0.88582    0.75203    0.87436
    0.57960   78.53288   18.00000   87.31195   -0.11179   79.84731   -0.00969    1.02324    0.88896    0.73705
    0.58240   78.72897   18.00000   61.97786    0.21277   80.05702   -0.00963    0.65453    1.17304    0.83857
